"Comune";"Area_provenienza";"Paese_provenienza";"MeasuresLevel";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018"
"Abbadia San Salvatore";"Italia";"Abruzzo";"Arrivi";"156.0";"134.0";"235.0";"49.0";"51.0";"228.0";"61.0";"149.0";"205.0";"183.0";"139.0";"79.0";"206.0";"212.0"
"Abbadia San Salvatore";"Italia";"Basilicata";"Arrivi";"113.0";"20.0";"30.0";"23.0";"15.0";"14.0";"17.0";"24.0";"84.0";"25.0";"16.0";"58.0";"36.0";"35.0"
"Abbadia San Salvatore";"Italia";"Bolzano-Bozen";"Arrivi";"15.0";"59.0";"76.0";"5.0";"18.0";"20.0";"18.0";"37.0";"11.0";"26.0";"21.0";"12.0";"31.0";"40.0"
"Abbadia San Salvatore";"Italia";"Calabria";"Arrivi";"41.0";"78.0";"75.0";"37.0";"46.0";"26.0";"80.0";"42.0";"88.0";"23.0";"27.0";"50.0";"63.0";"199.0"
"Abbadia San Salvatore";"Italia";"Campania";"Arrivi";"432.0";"476.0";"526.0";"466.0";"485.0";"407.0";"340.0";"320.0";"272.0";"379.0";"307.0";"325.0";"427.0";"513.0"
"Abbadia San Salvatore";"Italia";"Emilia-Romagna";"Arrivi";"780.0";"780.0";"682.0";"518.0";"482.0";"513.0";"508.0";"732.0";"576.0";"362.0";"444.0";"785.0";"1159.0";"1362.0"
"Abbadia San Salvatore";"Italia";"Friuli-V. Giulia";"Arrivi";"87.0";"35.0";"27.0";"234.0";"96.0";"179.0";"171.0";"85.0";"49.0";"50.0";"60.0";"63.0";"64.0";"78.0"
"Abbadia San Salvatore";"Italia";"Lazio";"Arrivi";"8636.0";"10257.0";"8822.0";"7761.0";"8352.0";"7704.0";"7753.0";"9873.0";"6813.0";"7335.0";"7779.0";"8844.0";"10318.0";"10929.0"
"Abbadia San Salvatore";"Italia";"Liguria";"Arrivi";"272.0";"373.0";"151.0";"193.0";"133.0";"258.0";"265.0";"284.0";"195.0";"370.0";"236.0";"375.0";"290.0";"308.0"
"Abbadia San Salvatore";"Italia";"Lombardia";"Arrivi";"746.0";"740.0";"511.0";"530.0";"511.0";"494.0";"607.0";"724.0";"545.0";"528.0";"466.0";"605.0";"893.0";"1073.0"
"Abbadia San Salvatore";"Italia";"Marche";"Arrivi";"590.0";"485.0";"515.0";"662.0";"499.0";"483.0";"312.0";"461.0";"614.0";"434.0";"616.0";"678.0";"958.0";"1147.0"
"Abbadia San Salvatore";"Italia";"Molise";"Arrivi";"8.0";"6.0";"58.0";"10.0";"9.0";"16.0";"40.0";"24.0";"5.0";"7.0";"60.0";"26.0";"18.0";"31.0"
"Abbadia San Salvatore";"Italia";"Piemonte";"Arrivi";"147.0";"192.0";"143.0";"86.0";"163.0";"94.0";"207.0";"211.0";"191.0";"144.0";"157.0";"260.0";"183.0";"349.0"
"Abbadia San Salvatore";"Italia";"Puglia";"Arrivi";"278.0";"179.0";"250.0";"233.0";"209.0";"283.0";"200.0";"131.0";"136.0";"83.0";"153.0";"200.0";"327.0";"358.0"
"Abbadia San Salvatore";"Italia";"Regione italiana non indicata";"Arrivi";"";"";"";"";"";"";"";"";"2.0";"16.0";"1.0";"39.0";"88.0";"100.0"
"Abbadia San Salvatore";"Italia";"Sardegna";"Arrivi";"69.0";"46.0";"80.0";"34.0";"56.0";"20.0";"38.0";"47.0";"44.0";"21.0";"39.0";"37.0";"38.0";"99.0"
"Abbadia San Salvatore";"Italia";"Sicilia";"Arrivi";"129.0";"92.0";"120.0";"104.0";"140.0";"151.0";"90.0";"71.0";"59.0";"104.0";"109.0";"101.0";"108.0";"152.0"
"Abbadia San Salvatore";"Italia";"Toscana";"Arrivi";"3574.0";"3920.0";"2875.0";"3148.0";"3572.0";"3447.0";"4049.0";"4703.0";"4549.0";"3528.0";"4674.0";"5514.0";"5709.0";"6698.0"
"Abbadia San Salvatore";"Italia";"Trento";"Arrivi";"52.0";"44.0";"213.0";"61.0";"18.0";"69.0";"19.0";"20.0";"15.0";"37.0";"14.0";"51.0";"39.0";"87.0"
"Abbadia San Salvatore";"Italia";"Umbria";"Arrivi";"490.0";"732.0";"430.0";"436.0";"596.0";"653.0";"586.0";"678.0";"643.0";"552.0";"743.0";"673.0";"744.0";"988.0"
"Abbadia San Salvatore";"Italia";"Valle d'Aosta";"Arrivi";"4.0";"10.0";"7.0";"6.0";"";"1.0";"2.0";"";"6.0";"2.0";"";"15.0";"21.0";"28.0"
"Abbadia San Salvatore";"Italia";"Veneto";"Arrivi";"482.0";"468.0";"467.0";"195.0";"325.0";"233.0";"367.0";"645.0";"414.0";"323.0";"394.0";"417.0";"530.0";"569.0"
"Abbadia San Salvatore";"Altri Paesi Europei";"Albania";"Arrivi";"12.0";"7.0";"11.0";"6.0";"7.0";"5.0";"";"6.0";"";"";"";"";"";""
"Abbadia San Salvatore";"Altri Paesi Europei";"Altri Paesi Europei";"Arrivi";"34.0";"3.0";"5.0";"";"";"49.0";"37.0";"4.0";"95.0";"13.0";"9.0";"43.0";"49.0";"38.0"
"Abbadia San Salvatore";"Altri Paesi Europei";"Bielorussia";"Arrivi";"1.0";"";"1.0";"";"";"";"1.0";"1.0";"";"";"";"";"";""
"Abbadia San Salvatore";"Altri Paesi Europei";"Islanda";"Arrivi";"";"";"2.0";"";"";"";"";"";"";"";"";"2.0";"";""
"Abbadia San Salvatore";"Altri Paesi Europei";"Iugoslavia";"Arrivi";"6.0";"";"2.0";"1.0";"1.0";"";"";"3.0";"";"";"";"";"";""
"Abbadia San Salvatore";"Altri Paesi Europei";"Macedonia";"Arrivi";"5.0";"2.0";"2.0";"5.0";"9.0";"2.0";"2.0";"5.0";"";"";"";"";"";""
"Abbadia San Salvatore";"Altri Paesi Europei";"Norvegia";"Arrivi";"32.0";"28.0";"82.0";"137.0";"8.0";"6.0";"2.0";"11.0";"1.0";"1.0";"2.0";"";"";"5.0"
"Abbadia San Salvatore";"Altri Paesi Europei";"Paese europeo non indicato";"Arrivi";"2.0";"";"";"";"";"";"";"";"";"";"";"";"";""
"Abbadia San Salvatore";"Altri Paesi Europei";"Polonia";"Arrivi";"20.0";"27.0";"59.0";"62.0";"168.0";"109.0";"229.0";"192.0";"102.0";"50.0";"52.0";"5.0";"71.0";"34.0"
"Abbadia San Salvatore";"Altri Paesi Europei";"Repubblica Ceca";"Arrivi";"13.0";"80.0";"173.0";"194.0";"154.0";"103.0";"158.0";"122.0";"132.0";"64.0";"52.0";"86.0";"105.0";"36.0"
"Abbadia San Salvatore";"Altri Paesi Europei";"Repubblica di Moldova";"Arrivi";"4.0";"54.0";"10.0";"6.0";"2.0";"5.0";"3.0";"4.0";"";"";"";"";"";""
